category,era,exif,film_genre,id,key_film,literary_parallel,name,short,stage,tag,tags,type,year
,Early Cinema (1895-1915),,Science Fiction / Fantasy / Trick Film,t-1902-scifi,A Trip to the Moon (Georges Méliès),"Jules Verne, H.G. Wells, Mary Shelley (Gothic SF)",,,,,sci-fi|fantasy|early-cinema|special-effects|trick-film|literary-adaptation|verne|melies|proto-sci-fi,timeline,1902
,German Expressionism / Silent Horror,,Horror / Psychological Thriller / Expressionist Drama,t-1920-german,"The Cabinet of Dr. Caligari (1920), Nosferatu (1922)","German Romanticism, E.T.A. Hoffmann, Edgar Allan Poe, Gothic",,,,,horror|expressionism|german-expressionism|psychological|shadow-play|distorted-perspective|gothic|vampire|poe,timeline,1920
,Classical Hollywood / Sound Western,,Western,t-1930-western,"Stagecoach (John Ford, 1939), Destry Rides Again","Dime novels, James Fenimore Cooper (Leatherstocking Tales), Zane Grey, Owen Wister (The Virginian), Karl May",,,,,western|classical-hollywood|dime-novel|frontier-myth|john-ford|landscape-as-character|moral-tale|pulp-western,timeline,1939
,Film Noir / Hardboiled,,"Film Noir, Crime, Mystery, Neo-Realist Thriller",t-1941-noir,"The Maltese Falcon (Huston 1941), Double Indemnity (Wilder 1944), Out of the Past","Hardboiled detective fiction: Dashiell Hammett, Raymond Chandler, James M. Cain, Cornell Woolrich",,,,,film-noir|neo-noir|hardboiled|hammett|chandler|cain|femme-fatale|venetian-blind|voiceover|fatalism|urban-night|low-key,timeline,1941
,Atomic Age Sci-Fi & Invasion,,"Sci-Fi, Invasion, Monster, Cold War Paranoia",t-1950-scifi,"The Thing from Another World (1951), Invasion of the Body Snatchers (1956), Forbidden Planet","John W. Campbell, Isaac Asimov, Ray Bradbury, 1950s pulp + Golden Age SF magazines",,,,,sci-fi|atomic-age|invasion|cold-war|paranoia|monster-movie|flying-saucer|body-snatchers|bradbury|asimov,timeline,1951
,Spaghetti Western / Revisionist,,"Spaghetti Western, Revisionist Western, Zapata Western",t-1960-spaghetti,"A Fistful of Dollars (1964), The Good the Bad and the Ugly (1966), Once Upon a Time in the West",American Western pulp + Italian fumetti + Japanese samurai films (Kurosawa) + European picaresque,,,,,spaghetti-western|sergio-leone|revisionist-western|dollars-trilogy|ennio-morricone|close-up-eyes|extreme-wide|cigar|eclectic-score|operatic-violence,timeline,1964
,1970s Epic / Macho / Roman Empire Fantasy,,"Historical Epic, Sword & Sandal Revival, Macho Action, Gladiator",t-1970s-hyper-masculine,"Patton, The Godfather (epic family), later Gladiator (2000) as spiritual successor, Caligula (extreme)","Classical history (Suetonius, Plutarch), Ben-Hur novel, modern sword & sorcery (Howard), hyper-masculine pulps",,,,,roman-empire|sword-and-sandal|gladiator|epic|hyper-masculine|jawline|colosseum|imperial-decadence|historical-epic|macho-hero,timeline,1970
,Neon Noir / Cyberpunk / MTV Aesthetic,,"Cyberpunk, Neo-Noir, Tech Thriller, Synthwave Visual",t-1980s-neon,"Blade Runner (1982), The Terminator (1984), Videodrome, Escape from New York","William Gibson (Neuromancer 1984), Philip K. Dick, Bruce Sterling, 80s cyberpunk short fiction",,,,,cyberpunk|neo-noir|neon|synthwave|blade-runner|gibson|dick|rain-neon|hologram|high-tech-low-life|vhs|retrowave,timeline,1982
,Indie / Tarantino / Pulp Revival + Literary Adaptation Wave,,Crime / Pulp Fiction / Non-linear / Indie Drama,t-1990s-2000s-indie,"Pulp Fiction (1994), Reservoir Dogs, Jackie Brown, Memento, Fight Club (Palahniuk)","Elmore Leonard, Quentin Tarantino's own dialogue style, short story cycles, graphic novels",,,,,pulp-fiction|tarantino|non-linear|indie-crime|dialogue-driven|pop-culture-ref|graphic-novel-adjacent|90s-grit,timeline,1994
,Streaming / Prestige / Genre Hybrid / Meme Culture,,Prestige TV / Limited Series / Cinematic Universe / Elevated Horror / Multiverse,t-2010s-stream,"True Detective S1 (2014), The Mandalorian, Chernobyl, Succession, Everything Everywhere All at Once, The Bear","Long-form prestige novels, comic runs (Watchmen, Saga), fanfiction, internet lore, true-crime podcasts as modern gothic",,,,,streaming|prestige|elevated-horror|multiverse|anthology|limited-series|comic-adaptation|true-crime|slow-burn|world-building|memeable|gif-able,timeline,2010
,,False,,,,,Real Life / Event / Memory,real-life-ground,0,,real-life-event|memory|autobiographical|witnessed,provenance_stage,
